epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3135.38,0.88954,0.61509,1.22343,0.93973,0.91106,0.94595,0.75767,1.19683,0.70656,1.379,0.000434754,0.000434754,0.000434754
58,3190.13,0.88109,0.60794,1.21562,0.95171,0.9018,0.94734,0.76694,1.1758,0.66113,1.38633,0.000412749,0.000412749,0.000412749
59,3244.61,0.86789,0.60377,1.20586,0.94763,0.9173,0.94864,0.76614,1.15842,0.64389,1.37556,0.000390745,0.000390745,0.000390745
60,3299.31,0.86131,0.5924,1.1986,0.9521,0.91451,0.95117,0.77066,1.18645,0.6555,1.39335,0.00036874,0.00036874,0.00036874
61,3354.44,0.85085,0.58888,1.19698,0.94256,0.9211,0.95048,0.7651,1.15438,0.68343,1.37165,0.000346736,0.000346736,0.000346736
62,3409,0.82637,0.57045,1.17645,0.94824,0.90278,0.94925,0.76888,1.14825,0.62461,1.38525,0.000324732,0.000324732,0.000324732
63,3463.7,0.82942,0.57105,1.17416,0.9531,0.9192,0.95032,0.77399,1.12692,0.63271,1.35988,0.000302727,0.000302727,0.000302727
64,3518.39,0.83144,0.56447,1.17867,0.96001,0.90677,0.94977,0.77683,1.1004,0.66053,1.35248,0.000280723,0.000280723,0.000280723
65,3575.15,0.83174,0.56817,1.1851,0.95441,0.91065,0.95139,0.77164,1.12145,0.6586,1.35571,0.000258718,0.000258718,0.000258718
66,3630.94,0.75048,0.43604,1.12811,0.95643,0.91065,0.94789,0.77043,1.13155,0.66783,1.37869,0.000236714,0.000236714,0.000236714
67,3686.63,0.72658,0.41155,1.10909,0.95281,0.9084,0.94832,0.77571,1.14947,0.6675,1.40891,0.00021471,0.00021471,0.00021471
68,3742.3,0.69485,0.39812,1.09292,0.9413,0.91742,0.95096,0.77813,1.13572,0.63704,1.40276,0.000192705,0.000192705,0.000192705
69,3797.86,0.69825,0.3953,1.09794,0.93852,0.90589,0.94777,0.77534,1.11928,0.63842,1.36126,0.000170701,0.000170701,0.000170701
70,3853.52,0.67573,0.39151,1.08391,0.95629,0.90209,0.95288,0.78349,1.11815,0.66953,1.36085,0.000148696,0.000148696,0.000148696
71,3909.47,0.67375,0.38124,1.07721,0.96497,0.90802,0.95527,0.78199,1.13919,0.66221,1.402,0.000126692,0.000126692,0.000126692
72,3965.01,0.6527,0.36971,1.06464,0.96541,0.9135,0.95223,0.78152,1.13292,0.65498,1.38325,0.000104688,0.000104688,0.000104688
73,4018.17,0.6466,0.37024,1.05897,0.96496,0.91445,0.95583,0.7892,1.10541,0.64062,1.3549,8.26832e-05,8.26832e-05,8.26832e-05
74,4071.24,0.63835,0.36785,1.05087,0.96352,0.90979,0.95362,0.78348,1.13201,0.65937,1.38017,6.06788e-05,6.06788e-05,6.06788e-05
75,4124.5,0.62441,0.35886,1.04599,0.9624,0.90779,0.95347,0.78884,1.10614,0.63628,1.36272,3.86744e-05,3.86744e-05,3.86744e-05
